koi_period,koi_depth,koi_duration,koi_ror,koi_teq,koi_insol,label
8.01078456,1333.6,2.312,0.03347,453.0,9.9,1
12.07134205,759.2,4.3224,0.025158,395.0,5.74,1
20.99587872,767.3,2.6333,0.025412,328.0,2.74,1
7.41113177,620.5,2.5242,0.024438,905.0,158.11,1
1.000747038,1823.5,0.9967,0.047993,1620.0,1635.2,0
8.884922995,16053.0,2.07004,0.114124,770.0,83.21,1
8.09888906,6911.1,4.20241,0.076211,986.0,223.19,1
10.00653012,936.1,5.344,0.032174,876.0,139.21,1
17.855221681,9065.2,7.41287,0.08815,911.0,163.04,1
5.007316661,6932.3,4.2362,0.077106,998.0,234.28,1
2.211116989,724.2,1.6485,0.026289,931.0,177.19,1
27.9541337,942.5,3.95,0.026973,400.0,6.04,1
12.69104387,252.1,3.7727,0.014487,1008.0,244.3,1
4.409409243,12861.0,3.8636,0.10287,1101.0,347.06,0
16.23947096,2590.7,4.0374,0.045252,598.0,30.14,1
6.308201629,1328.5,2.9785,0.032418,819.0,106.44,1
2.052349884,14281.0,2.0778,0.11123,1497.0,1183.18,1
9.7704486,1897.8,2.4517,0.040133,460.0,10.59,1
5.169804269,1037.4,2.153,0.029936,569.0,24.75,1
21.22261195,366.0,6.5093,0.01746,771.0,83.56,1
20.09017037,1432.1,4.154,0.040437,362.0,4.05,1
7.11373257,807.6,2.1764,0.025862,429.0,8.01,1
3.306551643,509.2,1.8177,0.020275,554.0,22.19,1
15.36845737,756.1,2.4714,0.02471,332.0,2.86,1
13.81020318,1309.7,3.048,0.036595,833.0,113.75,1
4.093578461,538.6,2.5833,0.026123,1182.0,461.07,1
105.145959,685.4,8.593,0.031397,401.0,6.09,1
10.8484518,1675.6,2.9993,0.036303,499.0,14.66,1
6.66833241,362.3,1.915,0.018246,587.0,28.06,1
4.082274889,17859.0,3.23015,0.121652,1016.0,251.48,1
42.1406089,895.5,5.083,0.026274,349.0,3.49,1
4.617490562,575.8,2.2618,0.023024,728.0,66.47,1
10.19849255,634.1,2.4283,0.024778,559.0,23.11,1
5.795063956,1692.9,3.2496,0.047975,950.0,192.74,0
7.15681552,867.0,2.5882,0.026979,782.0,88.23,1
17.64830851,763.3,2.0873,0.026581,579.0,26.49,1
